indicador,valor,unidade,periodo_referencia,abrangencia,fonte,url_fonte,data_publicacao,observacoes
capacidade_vagas_2025S2,505267,vagas,2025-S2,Brasil,SENAPPEN,https://www.gov.br/senappen/pt-br/servicos/sisdepen/relatorios/relatorios-de-informacoes-penitenciarias/relatorio-do-2o-semestre-de-2025.pdf,2025-S2,
deficit_vagas_2025S2,222034,vagas,2025-S2,Brasil,SENAPPEN,https://www.gov.br/senappen/pt-br/servicos/sisdepen/relatorios/relatorios-de-informacoes-penitenciarias/relatorio-do-2o-semestre-de-2025.pdf,2025-S2,43.9% de superlotação
taxa_ocupacao_2025S2,143.9,percentual,2025-S2,Brasil,SENAPPEN,https://www.gov.br/senappen/pt-br/servicos/sisdepen/relatorios/relatorios-de-informacoes-penitenciarias/relatorio-do-2o-semestre-de-2025.pdf,2025-S2,
regime_fechado,400873,pessoas,2025-S2,Brasil,SENAPPEN,https://www.gov.br/senappen/pt-br/servicos/sisdepen/relatorios/relatorios-de-informacoes-penitenciarias/relatorio-do-2o-semestre-de-2025.pdf,2025-S2,55.1% do total
regime_semiaberto,115887,pessoas,2025-S2,Brasil,SENAPPEN,https://www.gov.br/senappen/pt-br/servicos/sisdepen/relatorios/relatorios-de-informacoes-penitenciarias/relatorio-do-2o-semestre-de-2025.pdf,2025-S2,15.9% do total
regime_aberto,2958,pessoas,2025-S2,Brasil,SENAPPEN,https://www.gov.br/senappen/pt-br/servicos/sisdepen/relatorios/relatorios-de-informacoes-penitenciarias/relatorio-do-2o-semestre-de-2025.pdf,2025-S2,0.4% do total
presos_provisorios,205892,pessoas,2025-S2,Brasil,SENAPPEN,https://www.gov.br/senappen/pt-br/servicos/sisdepen/relatorios/relatorios-de-informacoes-penitenciarias/relatorio-do-2o-semestre-de-2025.pdf,2025-S2,28.3% do total; ainda não julgados
medidas_de_seguranca_internacao,1248,pessoas,2025-S2,Brasil,SENAPPEN,https://www.gov.br/senappen/pt-br/servicos/sisdepen/relatorios/relatorios-de-informacoes-penitenciarias/relatorio-do-2o-semestre-de-2025.pdf,2025-S2,0.2% do total
rdd,304,pessoas,2025-S2,Brasil,SENAPPEN,https://www.gov.br/senappen/pt-br/servicos/sisdepen/relatorios/relatorios-de-informacoes-penitenciarias/relatorio-do-2o-semestre-de-2025.pdf,2025-S2,Regime Disciplinar Diferenciado; 0.04% do total
presos_sao_paulo,221220,pessoas,2025-S2,São Paulo,SENAPPEN,https://www.gov.br/senappen/pt-br/servicos/sisdepen/relatorios/relatorios-de-informacoes-penitenciarias/relatorio-do-2o-semestre-de-2025.pdf,2025-S2,~30.4% do total nacional
presos_minas_gerais,73432,pessoas,2025-S2,Minas Gerais,SENAPPEN,https://www.gov.br/senappen/pt-br/servicos/sisdepen/relatorios/relatorios-de-informacoes-penitenciarias/relatorio-do-2o-semestre-de-2025.pdf,2025-S2,
presos_rio_de_janeiro,46645,pessoas,2025-S2,Rio de Janeiro,SENAPPEN,https://www.gov.br/senappen/pt-br/servicos/sisdepen/relatorios/relatorios-de-informacoes-penitenciarias/relatorio-do-2o-semestre-de-2025.pdf,2025-S2,
presos_parana,43553,pessoas,2025-S2,Paraná,SENAPPEN,https://www.gov.br/senappen/pt-br/servicos/sisdepen/relatorios/relatorios-de-informacoes-penitenciarias/relatorio-do-2o-semestre-de-2025.pdf,2025-S2,
presos_rio_grande_do_sul,41055,pessoas,2025-S2,Rio Grande do Sul,SENAPPEN,https://www.gov.br/senappen/pt-br/servicos/sisdepen/relatorios/relatorios-de-informacoes-penitenciarias/relatorio-do-2o-semestre-de-2025.pdf,2025-S2,
percentual_populacao_negra,70,percentual,2023,Brasil,Anuário Brasileiro de Segurança Pública 2024 (dado-base 2023),https://agenciabrasil.ebc.com.br/radioagencia-nacional/direitos-humanos/audio/2024-07/estudo-70-da-populacao-carceraria-no-brasil-e-negra,2024-07,"~470 mil pessoas; categoria ""negra"" = soma de pretos e pardos, conforme classificação IBGE usada pelo Anuário"
populacao_carceraria_total_2023,850000,pessoas,2023,Brasil,Anuário Brasileiro de Segurança Pública 2024,https://agenciabrasil.ebc.com.br/radioagencia-nacional/direitos-humanos/audio/2024-07/estudo-70-da-populacao-carceraria-no-brasil-e-negra,2024-07,Valor aproximado (>850 mil)
percentual_com_trabalho,20,percentual,2023,Brasil,Anuário Brasileiro de Segurança Pública 2024,https://agenciabrasil.ebc.com.br/radioagencia-nacional/direitos-humanos/audio/2024-07/estudo-70-da-populacao-carceraria-no-brasil-e-negra,2024-07,~170 mil pessoas
taxa_reincidencia_por_uf,,percentual,,,PENDENTE,,,"Indicador identificado como lacuna na análise crítica (seção 5); não localizado em fonte oficial consolidada e comparável por UF até o momento desta pesquisa (set/2026)"
distribuicao_faixa_etaria,,,,,PENDENTE,,,"Relatório SENAPPEN 2º sem. 2025 indica dado nas páginas 85-86 do documento original; não extraído nesta rodada de pesquisa — ver observações no README desta pasta"
distribuicao_escolaridade,,,,,PENDENTE,,,"Idem: não extraído nesta rodada; SISDEPEN coleta o dado, falta consolidação neste banco"
